ID;menmonico;Nome;Prazo;Sinonímia;Coleta;Material;Metodologia;coleta2;encaminhamento;finalidade do exame;interferente;paciente;instruções Material Coleta;instruções Paciente;instruções Coleta;Instruções Encaminhamento
2295;AMCARD;MIOCARDIO, AUTO-ANTICORPOS;05 dias úteis;Coracao,  anticorpos., Músculo Cardíaco,  Anticorpos Anti., Anticorpos Anti Miocárdio.;;Soro;Imunofluorescência Indireta;;;;;;"
Soro";"Instruções de jejum:
Jejum de 4 horas.

Para bebês ou até 2 anos: jejum de duas horas 
após mamada ou antes da próxima mamada.

Crianças acima de 2 anos: 2 a 3 horas de jejum, 
ou conforme orientação médica.";"
Soro

Coleta: punção venosa em tubo seco (tampa 
vermelha) ou seco com gel separador (tampa 
amarela).";"
Acondicionamento:
Transporte: caixa térmica com gelox (13ºC a 22ºC)
Após triagem e separação: refrigerado (2ºC a 8ºC)


___________________________________________"
2297;C70RAST;C70 - RAST PARA INSULINA SUINA [PORCINA];03 dias úteis;Rast C70 - Insulina Porcina , IgE para Insulina Suina , IgE para  Insulina Porcina;COLETA1, VOLUME113;Soro;Quimioluminescência;"- (C70RAST)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
- (C70RAST)VOLUME MÍNIMO:
0,5 mL.
";"- (C70RAST)ENCAMINHAMENTO:
Refrigerado 2°C - 8°C.

ESTABILIDADE:
Temperatura ambiente: não se aplica.
Refrigerada (2°C-8°C): 7 dias.
Congelada (-20°C): 90 dias.

";Este teste tem a finalidade de realizar a detecção de possíveis respostas alérgicas à insulina porcina. A presença de IgE específica para determinado alérgeno, em quantidades superiores ao referencial, pode estar associada a um aumento de risco relativo para o desenvolvimento de sintomas de hipersensibilidade.;;"- (C70RAST)PACIENTE:Não se aplica.
JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.";;;;
2298;CAA;CÓCLEA, AUTOANTICORPOS (PROTEÍNA 68KD);47 dias úteis;"Anticorpos anti- surdez autoimune;, Anticorpo anti proteína 68K";COLETA1;Soro;Imunoblot;"- (CAA)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
";- (CAA)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: 1 dia.Refrigerada (2°C-8°C): 5 dias.Congelada (-20°C): 30 dias.;Este teste é útil para auxiliar o diagnóstico de portadores de distúrbio imunológico do ouvido interno, que inclui sempre a síndrome da perda de audição neurossensorial. Os anticorpos anti-68kD são mais prevalentes nos pacientes com perda de audição neurossensorial rapidamente progressiva, especialmente naqueles com menos de três meses de doença. - As pessoas que apresentam esse anticorpo parecem responder melhor à terapia imunossupressora.;;;;;;
2299;DAG;PRATA NO SANGUE;15 dias úteis;AG - Prata,  soro;;Sangue (heparina);Plasma indutivamente acoplado com detector de massa;;;;;;;;;
2300;RF263;F263 - RAST PIMENTA VERDE;06 dias úteis;"Pimenta Verde - Rast RF263;           ,                                       Rast RF263 - Pimenta Verde;, Anticorpos IgE para pimenta verde, IgE para pimenta verde";COLETA1;Soro;Quimioluminescência;"- (RF263)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
";- (RF263)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 5 dias.Congelada (-20°C): 30 dias.;A quantificação de IgE específica é utilizada para identificar o alérgeno responsável por manifestações clínicas das alergias, neste caso identificar anticorpos IgE contra antígenos da pimenta verde.;;- (RF263)PACIENTE:Este exame deve ser realizado de acordo com as instruções de jejum.JEJUM:Jejum desejável de 3 horas. Para bebês ou até 2 anos: jejum de duas horas após a mamada ou logo antes da próxima mamada. Crianças acima de 2 anos: 2 a 3 horas de jejum ou conforme orientação do profissional solicitante.;;;;
2301;COU;COBALTO URINARIO;05 dias úteis;Co- urinário;COLETA309, Volume5;Urina amostra isolada;ICP-MS (Inductively Coupled Plasma Mass Spectrometry);"- (COU)COLETA:Coletar em frasco universal não esteril (tampa branca e/ou transparente).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.- (COU)VOLUME MÍNIMO:5 mL. ";- (COU)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 5 dias.Congelada (-20°C): 30 dias.;Este teste tem a finalidade de avaliar toxicidade pelo cobalto em profissionais ocupacionalmente expostos a este elemento.;;- (COU)PACIENTE:Exame realizado em amostra de urina isolada, pré ou pós-jornada de trabalho ou conforme solicitação médica.Para mulheres: Não fazer uso de creme/óvulo vaginal nas 24 horas que antecedem o exame e não estar em período menstrual.Informar medicação em uso. JEJUM:                                                                                                                                                                                                                                                                                                                                               Jejum não obrigatório ou conforme orientações do profissional solicitante.;;;;
2302;IGFBP1;IGFBP1 PROTEINA LIGADORA;17 dias úteis;Proteina Ligadora 1 de IGF (IGFBP-1);;Soro;Radioimunoensaio;;;;;;;;;
2303;AHBB;BETA-HIDROXIBUTIRATO;13 dias úteis;Beta hidroxi butirato. , Acetonemia;COLETA1, VOLUME201;Soro;Espectrometria de Absorção Molecular;"- (AHBB)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
- (AHBB)VOLUME MÍNIMO:1 mL.";- (AHBB)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 7 dias.Congelada (-20°C): 7 dias.;Dentre os corpos cetônicos, o beta-hidroxibutirato é o mais produzido em relação ao aceto-acetato e a acetona. Os corpos cetônicos são importantes no controle de pacientes diabéticos com cetoacidose e certas doenças metabólicas. Na glicogenose do tipo I existe um acúmulo de beta-hidroxibutirato no sangue, gerando uma cetose. Este teste avalia a concentração do ácido hidroxi beta butírico.;;"- (AHBB)PACIENTE:Não se aplica.
JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.";;;;
2304;ACBIL;ACIDOS BILIARES;19 dias úteis;Dosagem de Ácidos Biliares Totais., Sais biliares.;COLETA1, Volume1;Soro;Espectrofotometria;"- (ACBIL)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
- (ACBIL)VOLUME MÍNIMO:1 mL. ";- (ACBIL)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 2 dias.Congelada (-20°C): 30 dias.;A dosagem de ácidos biliares totais no sangue pode ser utilizada como um teste de depuração hepática endógena, mas as informações obtidas por este exame devem ser confirmadas por outras provas de função do fígado. O aumento na concentração dos ácidos biliares totais no sangue sugere limitação hepática nas capacidades de depuração e/ou secreção ou a existência de um shunt porto-sistêmico. Este teste auxilia na avaliação inicial da depuração hepática endógena.;;"- (ACBIL)PACIENTE:Não se aplica.
JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.";;;;
2305;;CARNITINA LIVRE;20 dias úteis;Dosagem de carnitina;COLETA1;Soro;Cromatografia líquida de alta eficiência - HPLC;- (CARNL)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.;- (CARNL)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 5 dias.Congelada (-20°C): 30 dias.;Este exame tem a finalidade de investigar a deficiência de carnitina em neonatos e lactentes com alterações metabólicas sugestivas.;;;;;;
2306;COTIU;COTININA [METABOLITO DA NICOTINA], URINA;06 dias úteis;Nicotina na urina;COLETA277, Volume8;Urina amostra isolada;Quimioluminescência;"- (COTIU)COLETA:Coletar em frasco universal não esteril (tampa branca e/ou transparente).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.- (COTIU)VOLUME MÍNIMO:

10 mL.
";- (COTIU)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 5 dias.Congelada (-20°C): 30 dias.;A cotinina é metabólito da nicotina e sua dosagem utilizada por clínicas de tratamento para fumantes, em exames para companhias de seguros e como um teste para determinar o grau de exposição passiva ao cigarro, quando se deseja quantificar esta exposição;;- (COTIU)PACIENTE:Exame realizado em amostra de urina isolada ou conforme solicitação médica.Para mulheres: Não fazer uso de creme/óvulo vaginal nas 24 horas que antecedem o exame e não estar em período menstrual.Informar medicação em uso.JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.;;;;
2307;GLICP;GLICEMIA CAPILAR;01 dia útil;;;Sangue total;Tira Reagente Accu-Check Advantage II;;;;;;"
Sangue total";"Instruções de jejum:
Jejum não necessário.";"
Sangue total (DEXTRO)

Sangue total de ponta de dedo p/ avaliação de 
glicemia capilar em tira reagente (ACCU-CHECK).
";"
Exame de realização direta imediatamente após 
coleta em aparelho ACCU-CHECK (DEXTRO), não 
necessário encaminhamento p/ triagem."
2308;COTISG;COTININA (METABOLITO DA NICOTINA);06 dias úteis;Nicotina no sangue;COLETA1;Soro;Quimioluminescência;"- (COTISG)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
";- (COTISG)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 5 dias.Congelada (-20°C): 30 dias.;A cotinina é metabólito da nicotina e sua dosagem utilizada por clínicas de tratamento para fumantes, em exames para companhias de seguros e como um teste para determinar o grau de exposição passiva ao cigarro, quando se deseja quantificar esta exposição;;"- (COTISG)PACIENTE:
Não se aplica.
JEJUM:
Não se aplica.
";;;;
2309;IMPRA;IMIPRAMINA;10 dias úteis;Depramina, Desipramina, Tofranil;;Soro;Cromatografia líquida de alta eficiência;;;;;;;;;
2310;TRIMIPA;TRIMIPRAMINA;10 dias úteis;Dosagem de trimipramina;COLETA1;Soro;;"- (TRIMIPA)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
";- (TRIMIPA)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: 1 dia.Refrigerada (2°C-8°C): 5 dias.Congelada (-20°C): 30 dias.;Trimipramina é um antidepressivo tricíclico com propriedades antipsicóticos e anti-histamínicos. Sua medida no soro tem a finalidade de monitorar pacientes em uso deste medicamento.;;;;;;
2313;AAGH;ANTICORPOS ANTI-GH;19 dias úteis;Anticorpos anti-GH;;Soro;Ensaio de rádio ligação;;;;;;"
Soro";"Instruções de jejum:
Jejum de 4 horas.

Para bebês ou até 2 anos: jejum de duas horas 
após mamada ou antes da próxima mamada.

Crianças acima de 2 anos: 2 a 3 horas de jejum, 
ou conforme orientação médica.";"
soro

Coleta: punção venosa em tubo seco (tampa 
vermelha) ou seco com gel separador (tampa 
amarela).";"
Acondicionamento:
Transporte: caixa térmica com gelox (13ºC a 22ºC)
Após triagem e separação: congelado

Estabilidade:
Temperatura ambiente: 7 dias
Refrigerada (2-8 §C): 14 dias
Congelada (-20 §C): 6 meses

___________________________________________"
2314;RUBPCR;RUBEOLA, DETECCAO POR PCR;13 dias úteis;;COLETA514, VOLUME135;Diversos materiais;Reação em cadeia da polimerase - PCR;"- (RUBPCR)COLETA:
Sangue Total (EDTA) - Punção venosa em tubo com EDTA (tampa roxa).
Líquido Amniótico, Líquor e Vilosidade Coriônica - Procedimento médico.

REJEIÇÃO DE AMOSTRA:
Coleta em tubo ou recipiente não padronizado.
Volume insuficiente de amostra.
Acondicionamento e/ou transporte fora do padrão.
- (RUBPCR)VOLUME MÍNIMO:
Líquido amniótico: 5,0 ml.
Líquor: 5,0 ml.
Sangue total (EDTA): 5,0 ml.
Vilosidades coriônicas: 50,0 mL.
";"- (RUBPCR)ENCAMINHAMENTO:
Refrigerada (2-8 ºC).

ESTABILIDADE:
Temperatura ambiente: não se aplica.
Refrigerada (2-8 ºC):Líquido Aminiótico e Vilosidade Coriônica - 3 dias // Líquor e Sangue Total (EDTA) - 5 dias.
Congelada (-20 ºC): não se aplica.

";A rubéola é causada pelo Togavirus que possui o genoma composto por RNA e pertence à família Togaviridae. A transmissão ocorre por via aérea e os sintomas da infecção geralmente são febre, rash cutâneo, dor nos olhos e pelo corpo, dificuldade de engolir, obstrução nasal e edema periférico.;;"- (RUBPCR)PACIENTE:
Não se aplica.
JEJUM:
Não obrigatório.
";;;;
2315;3METH;3 METIL HISTIDINA [SANGUE];20 dias úteis;Dosagem de 3 metil-histidina plasmática;COLETA248;Plasma (EDTA);Cromatografia Líquida de Alta Resolução;- (3METH)COLETA:Plasma com EDTA. Coleta: punção venosa em tubo com EDTA (tampa roxa). Congelar imediatamente.Enviar para a AFIP NTO Central imediatamente após a coleta.REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão. ;- (3METH)ENCAMINHAMENTO:Congelada -20°C (caixa térmica com gelo seco).ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): não se aplica.Congelada (-20°C): 30 dias.;3-metil-histidina é um dos produtos do catabolismo das proteínas contráteis actina e miosina e é excretada na urina, aumentando em situações como sepsia e trauma. O teste tem a finalidade de ser um bom indicador de catabolismo em pacientes críticos.;;"- (3METH)PACIENTE:Não se aplica.
JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.";;;;
2316;PROT6H;PROTEINURIA, 6H;01 dia útil;Proteínas na urina 6 horas, Proteinúria 6 horas, Proteína na urina 6 horas, Proteinúria de 6 horas, Proteína na urina de 6 horas;COLETA875, VOLUME449;Urina 6 horas;Colorimétrico - Vermelho de Pirogalol;"- (PROT6H)COLETA:Coleta de urina de 6 horas:
- Ao acordar esvaziar a bexiga, jogando fora esta urina (NÃO armazenar no frasco da coleta). Anotar o horário. Este é o horário de início da coleta;
- A partir desse momento coletar todo o volume de todas as urinas e armazenar no frasco próprio até completar 12 horas;
- Às 12 horas se completam no horário que esvaziou a bexiga no dia anterior, e não no horário que começou a coletar a urina;
- Ao término da coleta de urina, comparecer ao laboratório para a entrega da mesma.
REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.
Volume insuficiente de amostra.
Acondicionamento e/ou transporte fora do padrão.- (PROT6H)VOLUME MÍNIMO:
5,0 mL.
 ";"- (PROT6H)ENCAMINHAMENTO:
Refrigerada (2°C-8°C).

ESTABILIDADE:
Temperatura ambiente: não se aplica.
Refrigerada (2°C-8°C): 3 dias.
Congelada (-20°C): 30 dias.
";"A finalidadde deste exame é a avaliação de doenças renais. Proteinúria não é uma doença, mas é um marcador indicando a existência de uma anormalidade renal. Quando causada por doença renal ou sistêmica, é acompanhada por outras anormalidades clínicas como: creatinina sérica elevada, sedimento urinário anormal, evidência de enfermidade sistêmica (febre, erupção da pele, vasculite). Principais razões para o desenvolvimento de proteinúria: proteinúria funcional (processo benigno originado por agressores fisiológicos ou psicológicos, tais como enfermidades agudas, exercícios, estresse emocional e proteinúria ortostática); superprodução de proteínas plasmáticas filtráveis circulantes (cadeias leves de imunoglobulinas, associadas com mieloma múltiplo); proteinúria glomerular (resultante de anormalidades na membrana basal glomerular); proteinúria tubular (resultado de reabsorção defeituosa das proteínas filtradas normalmente no túbulo proximal, tendo como causas a presença de necrose tubular aguda, lesão tóxica por chumbo ou aminoglicosídeos e alterações metabólicas hereditárias, como doença de Wilson e síndrome de Fanconi).";;"- (PROT6H)PACIENTE:Exame realizado em urina de 6 horas. Não fazer uso de creme tópico/pomada vaginal nas 24 horas que antecedem ao exame.
JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.
";;;;
2317;CHLPIGA;CHLAMYDIA PSITTACI, ANTICORPOS IgA;10 dias úteis;Psitacose - IgA, Sorologia de IgA para C. psittaci, C. psittaci,  sorologia de IgA;;Soro;Imunofluorescência Indireta;;;;;;"
Soro";"Instruções de jejum:
Jejum de 4 horas.

Para bebês ou até 2 anos: jejum de duas horas 
após mamada ou antes da próxima mamada.

Crianças acima de 2 anos: 2 a 3 horas de jejum, 
ou conforme orientação médica.";"
Soro

Coleta: punção venosa em tubo seco (tampa 
vermelha) ou seco com gel separador (tampa 
amarela).";"
Acondicionamento: 
Transporte: caixa térmica com gelox (13ºC a 22ºC)
Após triagem e separação: congelado
Envio: 1 mL de soro congelado

___________________________________________"
2318;CHLPIGG;CHLAMYDIA PSITTACI, ANTICORPOS IgG;10 dias úteis;Psitacose - IgG, Sorologia de IgG para C. psittaci, C. psittaci,  sorologia de IgG;;Soro;Imunofluorescência Indireta;;;;;;"
Soro";"Instruções de jejum:
Jejum de 4 horas.

Para bebês ou até 2 anos: jejum de duas horas 
após mamada ou antes da próxima mamada.

Crianças acima de 2 anos: 2 a 3 horas de jejum, 
ou conforme orientação médica.";"
Soro

Coleta: punção venosa em tubo seco (tampa 
vermelha) ou seco com gel separador (tampa 
amarela).";"
Acondicionamento: 
Transporte: caixa térmica com gelox (13ºC a 22ºC)
Após triagem e separação: congelado
Envio: 1 mL de soro congelado

Estabilidade: 15 dias refrigerado e 01 ano congelado
___________________________________________"
2319;CHLPIGM;CHLAMYDIA PSITTACI, ANTICORPOS IgM;19 dias úteis;Psitacose - IgM, Sorologia de IgM para C. psittaci, C. psittaci,  sorologia de IgM;;Soro;Imunofluorescência Indireta;;;;;;"
Soro";"Instruções de jejum:
Jejum de 4 horas.

Para bebês ou até 2 anos: jejum de duas horas 
após mamada ou antes da próxima mamada.

Crianças acima de 2 anos: 2 a 3 horas de jejum, 
ou conforme orientação médica.";"
Soro

Coleta: punção venosa em tubo seco (tampa 
vermelha) ou seco com gel separador (tampa 
amarela).";"
Acondicionamento: 
Transporte: caixa térmica com gelox (13ºC a 22ºC)
Após triagem e separação: congelado
Envio: 1 mL de soro congelado

___________________________________________"
2320;FITAUROB;UROBILINOGENIO - QUALITATIVO [FITA DE URINA];01 dia útil;;Volume5;Urina;Manual e/ou Automação - Citometria de Fluxo;"- (FITAUROB)VOLUME MÍNIMO:5 mL. ";;;;;"
Urina (jato médio)";"Instruções de jejum:
Jejum não obrigatório ou conforme orientações do 
profissional solicitante.";"Instruções de paciente:
Coleta preferencialmente pela manhã ou estar com 
duas horas de retenção urinária (evitar
ingestão de líquido neste período).

Importante: quando da solicitação conjunta de 
US, cujo preparo prévio determine
ingestão hídrica, chegar com pelo menos duas 
horas de antecedência, realizar primeiro o exame 
de urina e depois o preparo para US.

Exame realizado em amostra de urina jato médio.";"Instruções de coleta:
Urina (jato médio) 

Coletar amostra após assepsia."
2321;FALK;FISH GENE ALK;08 dias úteis;Adenocarcinoma de pulmao, Gene ALK, Pesquisa do gene ALK por FISH;COLETA671;Bloco de parafina;;- (FALK)COLETA:N/A - Procedimento CirúrgicoREJEIÇÃO DE AMOSTRA:Critério quantitativo baseado no número de células de acordo com a sonda e qualidade da amostra (artefatos pré analiticos que não permitem a realização da análise).;"- (FALK)ENCAMINHAMENTO:Bloco de Parafina: Evitar altas temperaturas, conservar em temperatura ambiente (18ºC a 25ºC).Acondicionar o material nos flyers/bags disponibilizados pelo Laboratório.ESTABILIDADE:Temperatura ambiente: Indeterminado.Refrigerada (2°C-8°C): não se aplica.Congelada (-20°C): não se aplica.
";"O teste de FISH para ALK nos permite detectar rearranjos envolvendo a região do gene ALK no cromossomo 2. Translocações envolvendo o gene ALK são frequentes em linfoma de grandes células anaplásico (ALCL) e linfoma não-Hodgkin de células T. Além disso, uma inversão envolvendo o gene ALK é frequentemente identificada em CEC ou adenocarcinoma de pulmão e suas variantes (antigo câncer de pulmão de não pequenas células). Esta inversão implica predição a resposta terapêutica quando houver rearranjo com outro gene chamado EML4, também detectado por FISH. O FISH é realizado em cortes histológicos utilizando dupla coloração para o gene ALK na região 2p23. Esta sonda flanqueia o gene por inteiro. São avaliadas 50 células por ensaio. O rearranjo ALK é considerado POSITIVO quando mais de 15% das células analisadas apresentam separação do sinal verde e vermelho e a distância é >2 vezes o tamanho do sinal ou é observado apenas o sinal vermelho (3' ALK). O rearranjo ALK é considerado NEGATIVO quando 15% ou menos células apresentam distância menor que o tamanho de dois sinais.

TUSS: 40501159 CID10:  C34. 9

Metodologia utilizada: FISH";;"- (FALK)PACIENTE:

É obrigatório envio da cópia do pedido médico e os documentos preenchidos corretamente:

FRCOL187 - TERMO DE CONSETIMENTOS PARA EXAMES GENÉTICOS.
FRCOL181 - QUESTIONÁRIO PARA TESTES GENÉTICOS.

*Enviar cópia do relatório anatomopatológico.
JEJUM:Não se aplica.";;;;
2322;KLHHF;HEMACIAS FETAIS [KLEIHAUER];04 dias úteis;HbF - Hemacias Fetais (KLEIHAUER);;Sangue total (EDTA);Coloração pela Eosina;;;;;;"
Sangue total (EDTA)";"Instruções de jejum:
Jejum desejável de 4 horas.

Para bebês ou até 2 anos: jejum de duas horas 
após mamada ou antes da próxima mamada.

Crianças acima de 2 anos: 2 a 3 horas de jejum, 
ou conforme orientação médica.";"
Sangue total (EDTA)

PS - realizado também em amostra de sague de 
cordão umbilical c/ EDTA.";"
Acondicionamento: refrigerado (2º a 8ºC)
Envio: refrigerado (2º a 8ºC)


___________________________________________"
2324;RAGOLS;RAGOCITOS - PESQUISA (LIQUIDO SINOVIAL);01 dia útil;;;Líquido Sinovial;Microscopia;;;;;;"
Líquido Sinovial";"Instruções de jejum:
Jejum não obrigatório ou conforme orientações do 
profissional solicitante.
___________________________________________

Procedimento médico: punção de articulação";"
Líquido Sinovial";"
Acondicionamento: refrigerado (2ºC a 8ºC)



AFIP"
2325;CG9;CURVA GLICEMICA [09D /EST DEXTROSOL];01 dia útil;TTGO 09 dosagens,  Teste oral de tolerância a glicose 09 dosagens, Curva de glicemia 09 amostras;COLETA757, VOLUME331;Plasma;Colorimétrico - Enzimático;"- (CG9)COLETA:Plasma fluoretado.
Realizar a coleta basal e nos tempos preconizados após estímulo, ou seja, com sobrecarga de dextrosol (50, 75 gramas) usando o tubo com fluoreto.
Coleta preferencialmente pela manhã. Tempos p/ coleta, conforme solicitação médica. Dose de dextrosol: adultos 75g, crianças 1,75g/kilo de peso.
Não agendar exames de imagem junto com a curva, marcar em dias diferentes.
""Restrição absoluta: Este exame NÃO pode ser realizado em pacientes pós-cirurgia bariátrica"".REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.
Volume insuficiente de amostra.
Acondicionamento e/ou transporte fora do padrão.- (CG9)VOLUME MÍNIMO:1 mL.";"- (CG9)ENCAMINHAMENTO:	Refrigerado 2°C - 8°C.
ESTABILIDADE:Temperatura ambiente: 24 horas.
Refrigerada (2°C-8°C): 7 dias.
Congelada (-20°C): 30 dias.";A curva glicêmica tem a finalidade de se avaliar a reserva insulínica pancreática em relação à resposta aos estímulos hiperglicêmicos.;;"- (CG9)PACIENTE:Exame somente agendado. Este exame compreende dosagens seriadas de glicose, após a sobrecarga com dextrosol por via oral, conforme solicitação médica.
Preparo para o exame: Manter dieta habitual, sem restrição de carboidratos (massas, açúcar e doces), no mínimo 3 dias antes exame. Não fazer uso de laxante ou ingesta de bebida alcoólica na véspera do exame.
Evitar esforço físico não habitual antes do exame (no mesmo dia do exame).
Se estiver com diarreia até 2 dias antes do dia do teste, este deverá ser reagendado.
Este exame não é realizado em pacientes que tenham feito cirurgia bariátrica.
Este exame não é realizado em pacientes com diagnóstico confirmado de diabetes mellitus.
Não agendar outros exames com uso prévio de substâncias antes da coleta no mesmo dia.
Não agendar exames de imagem no mesmo dia deste exame.JEJUM:Este exame requer um jejum de 8 horas. Para bebês ou até 2 anos: jejum de duas horas após mamada ou logo antes da próxima mamada. Crianças acima de 2 anos: 2 a 3 horas de jejum, ou conforme orientação do profissional solicitante. ";;;;
2326;CG10;CURVA GLICEMICA [10D /EST DEXTROSOL];01 dia útil;TTGO 10 dosagens, Teste oral de tolerância a glicose 10 dosagens, Curva de glicemia 10 amostras;COLETA757, VOLUME331;Plasma;Colorimétrico - Enzimático;"- (CG10)COLETA:Plasma fluoretado.
Realizar a coleta basal e nos tempos preconizados após estímulo, ou seja, com sobrecarga de dextrosol (50, 75 gramas) usando o tubo com fluoreto.
Coleta preferencialmente pela manhã. Tempos p/ coleta, conforme solicitação médica. Dose de dextrosol: adultos 75g, crianças 1,75g/kilo de peso.
Não agendar exames de imagem junto com a curva, marcar em dias diferentes.
""Restrição absoluta: Este exame NÃO pode ser realizado em pacientes pós-cirurgia bariátrica"".REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.
Volume insuficiente de amostra.
Acondicionamento e/ou transporte fora do padrão.- (CG10)VOLUME MÍNIMO:1 mL.";"- (CG10)ENCAMINHAMENTO:	Refrigerado 2°C - 8°C.
ESTABILIDADE:Temperatura ambiente: 24 horas.
Refrigerada (2°C-8°C): 7 dias.
Congelada (-20°C): 30 dias.";A curva glicêmica tem a finalidade de se avaliar a reserva insulínica pancreática em relação à resposta aos estímulos hiperglicêmicos.;;"- (CG10)PACIENTE:Exame somente agendado. Este exame compreende dosagens seriadas de glicose, após a sobrecarga com dextrosol por via oral, conforme solicitação médica.
Preparo para o exame: Manter dieta habitual, sem restrição de carboidratos (massas, açúcar e doces), no mínimo 3 dias antes exame. Não fazer uso de laxante ou ingesta de bebida alcoólica na véspera do exame.
Evitar esforço físico não habitual antes do exame (no mesmo dia do exame).
Se estiver com diarreia até 2 dias antes do dia do teste, este deverá ser reagendado.
Este exame não é realizado em pacientes que tenham feito cirurgia bariátrica.
Este exame não é realizado em pacientes com diagnóstico confirmado de diabetes mellitus.
Não agendar outros exames com uso prévio de substâncias antes da coleta no mesmo dia.
Não agendar exames de imagem no mesmo dia deste exame.JEJUM:Este exame requer um jejum de 8 horas. Para bebês ou até 2 anos: jejum de duas horas após mamada ou logo antes da próxima mamada. Crianças acima de 2 anos: 2 a 3 horas de jejum, ou conforme orientação do profissional solicitante. ";;;;
